"Product Page","Scheda prodotto"
"Ecological / eco-friendly choice","Scelta ecologica / eco-friendly"
"Easy to Use","Facilità d'uso"
"Go Back","Torna Indietro"
"Show more","Mostra di più"
"Show less","Mostra di meno"
"See Product Details","Vedi dettagli prodotto"
"Learn More Info","Approfondisci"
"Proceed to Checkout","Vai alla cassa"
"You have no items in your shopping cart.","Ops, il tuo carrello è vuoto!"
"I have a discount code","Ho il codice sconto"
"Continue without registration","Continua senza accedere"
"Register","Registrati"
"Summary","Riepilogo"
"Customer Care","Assistenza clienti"
"For More information click here","Per maggiori informazioni clicca qui"
"Review & Payments","Pagamento"
"Tax included","iva inclusa"
"Filters","Filtri"
"Your Balance","Il tuo saldo"
"Specs","Specifiche"
"See product details","Vedi dettagli prodotto"
"Services","Servizi"
"View order details","Vedi dettaglio ordine"
"In stock for pick and pay","Disponibile prenota e ritira"
"Out of stock for pick and pay","Non disponibile prenota e ritira"
"Product View","Scheda prodotto"
